Station,Heure,Jour,Meteo,Affluence
Bercy,19,Samedi,Pluie,607
Vincennes,23,Mercredi,Pluie,291
Bercy,11,Dimanche,Pluie,12
Bercy,22,Lundi,Pluie,374
Neuilly-Plaisance,8,Mardi,Pluie,312
Nation,10,Mercredi,Pluie,227
Créteil-Préfecture,7,Vendredi,Soleil,185
Marne-la-Vallée (Chessy),8,Samedi,Pluie,325
Gare du Nord,6,Vendredi,Nuageux,149
Massy-Palaiseau,7,Samedi,Nuageux,184
Saint-Lazare,22,Lundi,Pluie,554
Nation,6,Lundi,Soleil,111
Châtelet-Les Halles,12,Dimanche,Soleil,181
La Défense,11,Vendredi,Pluie,325
Vincennes,13,Samedi,Nuageux,162
Massy-Palaiseau,13,Mardi,Nuageux,196
Nanterre-Préfecture,6,Mardi,Pluie,4
Auber / Opéra,11,Jeudi,Pluie,150
Marne-la-Vallée (Chessy),17,Dimanche,Soleil,503
Boulogne - Pont de Sèvres,12,Mercredi,Pluie,72
Nanterre-Préfecture,5,Samedi,Pluie,1
La Défense,7,Vendredi,Nuageux,460
Juvisy,12,Samedi,Soleil,88
Saint-Denis (Stade),23,Lundi,Soleil,268
Montparnasse,8,Vendredi,Soleil,356
Aéroport d'Orly,14,Vendredi,Nuageux,199
Saint-Denis (Stade),22,Lundi,Nuageux,312
Vincennes,23,Vendredi,Soleil,279
Saint-Lazare,16,Samedi,Pluie,194
La Défense,15,Mardi,Pluie,395
Juvisy,10,Mercredi,Nuageux,42
Nanterre-Préfecture,10,Mardi,Nuageux,104
Boulogne - Pont de Sèvres,12,Vendredi,Soleil,76
Aéroport d'Orly,14,Mardi,Pluie,210
Saint-Denis (Stade),6,Jeudi,Soleil,86
La Défense,17,Vendredi,Nuageux,1224
Nation,23,Jeudi,Pluie,436
Aéroport CDG 2,10,Dimanche,Nuageux,77
Juvisy,8,Samedi,Nuageux,218
Vincennes,15,Mardi,Nuageux,174
Créteil-Préfecture,22,Samedi,Soleil,97
Marne-la-Vallée (Chessy),6,Lundi,Pluie,174
Cergy-Préfecture,7,Mercredi,Soleil,326
La Défense,21,Lundi,Nuageux,413
Nanterre-Préfecture,13,Jeudi,Nuageux,165
Vincennes,23,Samedi,Pluie,163
Aéroport CDG 2,22,Dimanche,Soleil,211
Nation,10,Lundi,Soleil,206
Gare du Nord,8,Jeudi,Pluie,730
Nanterre-Préfecture,21,Dimanche,Nuageux,245
Massy-Palaiseau,23,Lundi,Soleil,253
Neuilly-Plaisance,15,Mercredi,Pluie,113
Aéroport CDG 2,22,Vendredi,Pluie,483
Val de Fontenay,20,Mercredi,Soleil,242
Juvisy,23,Mardi,Soleil,345
Noisy-le-Grand,13,Samedi,Soleil,60
Marne-la-Vallée (Chessy),21,Mardi,Soleil,341
Neuilly-Plaisance,20,Lundi,Soleil,238
Vincennes,10,Mercredi,Soleil,119
Créteil-Préfecture,23,Mardi,Nuageux,237
Versailles-Chantiers,8,Vendredi,Soleil,274
Nation,15,Lundi,Soleil,164
Gare du Nord,19,Jeudi,Pluie,1893
Nation,13,Lundi,Nuageux,140
Créteil-Préfecture,15,Dimanche,Pluie,142
Montparnasse,14,Dimanche,Soleil,226
Gare du Nord,14,Mercredi,Nuageux,287
Bercy,23,Dimanche,Nuageux,130
Créteil-Préfecture,5,Mercredi,Nuageux,31
Bercy,21,Vendredi,Soleil,276
Gare de Lyon,23,Lundi,Soleil,447
Gare de Lyon,22,Lundi,Nuageux,474
Nation,21,Samedi,Soleil,198
Saint-Lazare,23,Mercredi,Soleil,388
Nanterre-Préfecture,7,Lundi,Pluie,307
Vincennes,17,Dimanche,Pluie,451
Juvisy,6,Mardi,Nuageux,17
Versailles-Chantiers,13,Mardi,Nuageux,24
Saint-Denis (Stade),17,Lundi,Soleil,744
Nation,5,Mardi,Nuageux,60
Aéroport d'Orly,14,Mercredi,Pluie,301
Auber / Opéra,7,Jeudi,Nuageux,313
Créteil-Préfecture,14,Dimanche,Soleil,17
Aéroport d'Orly,23,Lundi,Pluie,437
Massy-Palaiseau,11,Samedi,Pluie,112
Aéroport CDG 2,21,Vendredi,Nuageux,327
Gare du Nord,16,Lundi,Nuageux,351
Neuilly-Plaisance,12,Mercredi,Soleil,115
Aéroport CDG 2,22,Vendredi,Soleil,294
Montparnasse,7,Dimanche,Pluie,300
Neuilly-Plaisance,8,Vendredi,Nuageux,244
Massy-Palaiseau,12,Jeudi,Nuageux,189
Montparnasse,9,Dimanche,Nuageux,246
Gare du Nord,15,Dimanche,Pluie,285
Gare de Lyon,6,Lundi,Soleil,69
Saint-Lazare,23,Lundi,Pluie,487
République,7,Vendredi,Soleil,361
Saint-Denis (Stade),16,Mardi,Nuageux,267
Bercy,11,Lundi,Pluie,141
Val de Fontenay,10,Dimanche,Nuageux,143
Gare du Nord,12,Dimanche,Soleil,187
Boulogne - Pont de Sèvres,9,Dimanche,Soleil,74
Versailles-Chantiers,17,Lundi,Pluie,874
Nanterre-Préfecture,17,Mardi,Nuageux,683
République,5,Samedi,Nuageux,94
Aéroport d'Orly,18,Dimanche,Soleil,509
Massy-Palaiseau,8,Samedi,Soleil,174
République,5,Samedi,Pluie,97
Nanterre-Préfecture,18,Jeudi,Pluie,840
Nation,23,Lundi,Pluie,476
Montparnasse,23,Dimanche,Pluie,319
Montparnasse,7,Mercredi,Soleil,348
Saint-Lazare,15,Mardi,Pluie,318
Cergy-Préfecture,13,Dimanche,Nuageux,59
Châtelet-Les Halles,23,Lundi,Soleil,620
République,6,Mardi,Pluie,110
Versailles-Chantiers,17,Mardi,Pluie,828
Auber / Opéra,7,Jeudi,Soleil,371
Val de Fontenay,15,Jeudi,Soleil,203
Vincennes,18,Vendredi,Nuageux,709
Boulogne - Pont de Sèvres,19,Lundi,Pluie,807
Montparnasse,9,Jeudi,Soleil,488
Aéroport CDG 2,11,Lundi,Pluie,232
Saint-Lazare,6,Vendredi,Soleil,166
Créteil-Préfecture,10,Samedi,Pluie,68
Marne-la-Vallée (Chessy),15,Jeudi,Soleil,241
Aéroport d'Orly,6,Dimanche,Nuageux,96
Nanterre-Préfecture,17,Jeudi,Nuageux,607
Marne-la-Vallée (Chessy),5,Vendredi,Pluie,104
Val de Fontenay,7,Mercredi,Nuageux,284
Gare de Lyon,6,Mercredi,Soleil,130
Bercy,23,Vendredi,Nuageux,253
Gare du Nord,13,Mercredi,Pluie,397
Nanterre-Préfecture,22,Mercredi,Nuageux,201
Gare de Lyon,5,Mercredi,Soleil,102
Aéroport d'Orly,18,Mercredi,Pluie,1053
Bercy,18,Mardi,Pluie,925
Châtelet-Les Halles,22,Mardi,Soleil,478
Marne-la-Vallée (Chessy),17,Jeudi,Pluie,1002
Juvisy,8,Lundi,Soleil,286
Neuilly-Plaisance,22,Dimanche,Pluie,94
Aéroport CDG 2,23,Mardi,Soleil,400
Créteil-Préfecture,8,Lundi,Nuageux,294
Neuilly-Plaisance,10,Dimanche,Nuageux,17
Nanterre-Préfecture,16,Dimanche,Pluie,87
Montparnasse,13,Samedi,Soleil,68
Gare de Lyon,17,Vendredi,Pluie,1360
Noisy-le-Grand,18,Dimanche,Pluie,566
Juvisy,19,Samedi,Nuageux,416
Neuilly-Plaisance,18,Samedi,Soleil,432
Cergy-Préfecture,22,Vendredi,Pluie,303
Créteil-Préfecture,6,Samedi,Nuageux,93
Saint-Lazare,7,Vendredi,Soleil,361
Auber / Opéra,22,Lundi,Pluie,425
Boulogne - Pont de Sèvres,23,Vendredi,Pluie,274
République,22,Jeudi,Nuageux,316
Bercy,19,Lundi,Nuageux,800
Montparnasse,10,Jeudi,Soleil,165
Versailles-Chantiers,8,Jeudi,Soleil,332
Gare de Lyon,14,Mercredi,Soleil,239
Val de Fontenay,16,Dimanche,Pluie,84
Aéroport CDG 2,9,Jeudi,Nuageux,470
Auber / Opéra,9,Mardi,Pluie,540
Noisy-le-Grand,20,Samedi,Pluie,134
Noisy-le-Grand,22,Jeudi,Nuageux,203
Versailles-Chantiers,19,Vendredi,Nuageux,872
Créteil-Préfecture,12,Mercredi,Pluie,145
Juvisy,5,Samedi,Soleil,37
Nanterre-Préfecture,13,Lundi,Pluie,249
Nanterre-Préfecture,16,Jeudi,Nuageux,203
République,5,Samedi,Pluie,89
Noisy-le-Grand,9,Mercredi,Pluie,368
Noisy-le-Grand,13,Jeudi,Nuageux,180
Montparnasse,5,Jeudi,Soleil,115
Neuilly-Plaisance,18,Vendredi,Soleil,574
Nanterre-Préfecture,21,Mardi,Pluie,285
Châtelet-Les Halles,7,Dimanche,Nuageux,276
Juvisy,20,Mercredi,Nuageux,317
Versailles-Chantiers,12,Mercredi,Soleil,174
Versailles-Chantiers,23,Jeudi,Pluie,424
Saint-Denis (Stade),19,Mercredi,Nuageux,920
Boulogne - Pont de Sèvres,6,Lundi,Nuageux,69
Massy-Palaiseau,10,Dimanche,Soleil,94
Bercy,14,Lundi,Nuageux,139
République,17,Dimanche,Pluie,567
Aéroport d'Orly,19,Jeudi,Soleil,942
Nation,15,Dimanche,Pluie,103
Vincennes,13,Mercredi,Soleil,37
Noisy-le-Grand,18,Dimanche,Pluie,472
Versailles-Chantiers,7,Samedi,Soleil,193
Massy-Palaiseau,20,Dimanche,Nuageux,136
République,12,Jeudi,Pluie,164
Boulogne - Pont de Sèvres,15,Lundi,Pluie,217
Versailles-Chantiers,6,Mercredi,Pluie,148
Val de Fontenay,9,Mardi,Pluie,466
Gare de Lyon,16,Jeudi,Pluie,324
Boulogne - Pont de Sèvres,13,Lundi,Soleil,144
Nanterre-Préfecture,15,Lundi,Pluie,219
Auber / Opéra,20,Mardi,Soleil,541
Aéroport d'Orly,14,Dimanche,Nuageux,49
Créteil-Préfecture,15,Jeudi,Pluie,118
Saint-Denis (Stade),5,Dimanche,Pluie,79
La Défense,5,Vendredi,Nuageux,78
Bercy,5,Vendredi,Soleil,38
La Défense,19,Lundi,Nuageux,1405
Châtelet-Les Halles,13,Vendredi,Soleil,352
Marne-la-Vallée (Chessy),10,Samedi,Soleil,67
Noisy-le-Grand,23,Lundi,Pluie,271
Montparnasse,12,Vendredi,Soleil,191
Nation,21,Lundi,Nuageux,342
Neuilly-Plaisance,16,Dimanche,Pluie,75
Saint-Lazare,6,Samedi,Soleil,10
Boulogne - Pont de Sèvres,12,Dimanche,Soleil,75
Créteil-Préfecture,5,Mercredi,Soleil,37
Gare du Nord,17,Mardi,Nuageux,1337
Boulogne - Pont de Sèvres,15,Dimanche,Pluie,89
Gare de Lyon,23,Lundi,Pluie,509
Montparnasse,6,Vendredi,Nuageux,67
Val de Fontenay,22,Jeudi,Nuageux,273
Noisy-le-Grand,8,Vendredi,Pluie,280
Nation,11,Mardi,Soleil,151
Versailles-Chantiers,9,Vendredi,Nuageux,332
Montparnasse,13,Vendredi,Soleil,286
Saint-Lazare,17,Dimanche,Soleil,595
Vincennes,22,Jeudi,Pluie,238
Créteil-Préfecture,19,Lundi,Soleil,750
Nanterre-Préfecture,22,Samedi,Nuageux,121
Cergy-Préfecture,5,Mercredi,Pluie,98
Val de Fontenay,8,Jeudi,Soleil,249
Auber / Opéra,17,Mardi,Pluie,1275
Saint-Lazare,18,Samedi,Soleil,634
Neuilly-Plaisance,12,Jeudi,Nuageux,140
Gare de Lyon,9,Dimanche,Nuageux,369
Marne-la-Vallée (Chessy),11,Samedi,Pluie,169
Val de Fontenay,13,Lundi,Nuageux,240
Neuilly-Plaisance,10,Mardi,Nuageux,120
Gare du Nord,16,Mercredi,Nuageux,326
Val de Fontenay,15,Mercredi,Pluie,323
Noisy-le-Grand,19,Vendredi,Pluie,849
Val de Fontenay,21,Vendredi,Pluie,353
République,7,Mardi,Pluie,290
Versailles-Chantiers,21,Mercredi,Soleil,184
Cergy-Préfecture,12,Dimanche,Pluie,81
Montparnasse,16,Lundi,Soleil,281
Neuilly-Plaisance,17,Mardi,Soleil,542
La Défense,16,Vendredi,Nuageux,361
Cergy-Préfecture,9,Vendredi,Pluie,380
Aéroport CDG 2,5,Vendredi,Soleil,53
Massy-Palaiseau,21,Dimanche,Nuageux,129
Val de Fontenay,9,Dimanche,Soleil,232
Versailles-Chantiers,12,Jeudi,Soleil,154
Aéroport CDG 2,6,Dimanche,Pluie,80
Juvisy,9,Mercredi,Nuageux,297
République,18,Jeudi,Nuageux,781
Noisy-le-Grand,6,Mardi,Pluie,93
Saint-Lazare,16,Jeudi,Soleil,364
La Défense,18,Mercredi,Soleil,1367
Créteil-Préfecture,9,Mardi,Soleil,371
Neuilly-Plaisance,22,Mercredi,Soleil,166
République,22,Mercredi,Nuageux,291
République,20,Dimanche,Pluie,283
Vincennes,9,Dimanche,Pluie,189
Châtelet-Les Halles,6,Samedi,Nuageux,113
Juvisy,22,Lundi,Pluie,329
Vincennes,7,Lundi,Soleil,264
Nation,13,Lundi,Soleil,198
Val de Fontenay,10,Dimanche,Soleil,20
Massy-Palaiseau,22,Vendredi,Soleil,318
Marne-la-Vallée (Chessy),5,Samedi,Nuageux,64
Aéroport CDG 2,22,Samedi,Pluie,261
Créteil-Préfecture,6,Samedi,Nuageux,5
Boulogne - Pont de Sèvres,21,Jeudi,Nuageux,181
Montparnasse,16,Lundi,Soleil,207
Gare du Nord,6,Mardi,Soleil,92
Vincennes,5,Dimanche,Pluie,40
Aéroport CDG 2,14,Samedi,Soleil,215
Nanterre-Préfecture,6,Vendredi,Pluie,161
Cergy-Préfecture,9,Lundi,Nuageux,325
Noisy-le-Grand,21,Jeudi,Soleil,325
Auber / Opéra,5,Vendredi,Nuageux,46
Massy-Palaiseau,18,Vendredi,Soleil,835
Aéroport CDG 2,10,Samedi,Nuageux,104
Nanterre-Préfecture,15,Mardi,Pluie,203
Auber / Opéra,11,Mercredi,Soleil,178
Neuilly-Plaisance,13,Mardi,Nuageux,111
Noisy-le-Grand,7,Jeudi,Pluie,234
Noisy-le-Grand,10,Jeudi,Soleil,147
Marne-la-Vallée (Chessy),13,Dimanche,Nuageux,54
Vincennes,10,Jeudi,Nuageux,119
Gare du Nord,14,Vendredi,Soleil,313
Saint-Lazare,12,Jeudi,Pluie,236
République,20,Dimanche,Pluie,184
Vincennes,11,Mardi,Nuageux,117
Aéroport d'Orly,22,Vendredi,Soleil,296
Cergy-Préfecture,22,Mardi,Nuageux,246
Gare du Nord,19,Lundi,Pluie,1846
La Défense,10,Dimanche,Soleil,94
Créteil-Préfecture,9,Samedi,Soleil,254
Aéroport d'Orly,22,Lundi,Soleil,328
Créteil-Préfecture,12,Samedi,Nuageux,119
Versailles-Chantiers,7,Lundi,Nuageux,292
Nation,20,Mardi,Pluie,334
Nation,21,Mercredi,Soleil,334
Versailles-Chantiers,21,Samedi,Soleil,31
Auber / Opéra,16,Mardi,Nuageux,308
Val de Fontenay,11,Lundi,Nuageux,149
Saint-Denis (Stade),10,Samedi,Soleil,85
Noisy-le-Grand,6,Mercredi,Soleil,34
Nation,9,Samedi,Pluie,288
République,6,Vendredi,Nuageux,97
Cergy-Préfecture,7,Samedi,Nuageux,254
Montparnasse,9,Jeudi,Nuageux,363
Créteil-Préfecture,21,Mercredi,Nuageux,253
Marne-la-Vallée (Chessy),23,Samedi,Nuageux,190
Châtelet-Les Halles,14,Lundi,Nuageux,281
Boulogne - Pont de Sèvres,16,Samedi,Nuageux,187
Aéroport CDG 2,22,Mercredi,Pluie,418
Massy-Palaiseau,23,Jeudi,Pluie,398
Saint-Denis (Stade),17,Samedi,Nuageux,504
Marne-la-Vallée (Chessy),12,Vendredi,Pluie,105
Noisy-le-Grand,7,Dimanche,Soleil,112
Nation,16,Mardi,Soleil,203
La Défense,8,Mercredi,Nuageux,506
Châtelet-Les Halles,18,Lundi,Nuageux,1433
Aéroport CDG 2,11,Jeudi,Pluie,174
Vincennes,17,Mercredi,Nuageux,560
Versailles-Chantiers,16,Mercredi,Nuageux,178
Nation,19,Mercredi,Soleil,909
République,6,Lundi,Pluie,132
Noisy-le-Grand,5,Mercredi,Pluie,14
Neuilly-Plaisance,10,Samedi,Nuageux,103
République,5,Dimanche,Nuageux,37
Aéroport d'Orly,23,Samedi,Soleil,84
Boulogne - Pont de Sèvres,14,Mercredi,Nuageux,169
Val de Fontenay,18,Samedi,Soleil,430
Montparnasse,6,Vendredi,Nuageux,31
Aéroport CDG 2,13,Lundi,Pluie,289
Versailles-Chantiers,7,Dimanche,Pluie,259
Juvisy,23,Samedi,Soleil,141
Val de Fontenay,18,Mercredi,Pluie,953
Val de Fontenay,20,Jeudi,Soleil,315
Saint-Lazare,11,Dimanche,Pluie,251
Châtelet-Les Halles,5,Dimanche,Pluie,69
Saint-Denis (Stade),9,Mardi,Soleil,424
Versailles-Chantiers,7,Mardi,Nuageux,142
République,21,Dimanche,Soleil,144
Auber / Opéra,18,Vendredi,Nuageux,982
Saint-Lazare,20,Lundi,Soleil,384
Créteil-Préfecture,11,Jeudi,Soleil,125
Bercy,13,Lundi,Soleil,186
Montparnasse,11,Mardi,Pluie,250
Châtelet-Les Halles,19,Jeudi,Soleil,1627
Vincennes,7,Mardi,Nuageux,285
Nanterre-Préfecture,20,Dimanche,Pluie,110
Montparnasse,22,Mardi,Pluie,411
Aéroport d'Orly,11,Dimanche,Pluie,1
Saint-Lazare,21,Lundi,Soleil,371
Montparnasse,22,Mercredi,Soleil,347
Massy-Palaiseau,7,Samedi,Pluie,253
Juvisy,15,Vendredi,Pluie,276
Gare de Lyon,18,Jeudi,Pluie,1519
Boulogne - Pont de Sèvres,21,Samedi,Pluie,161
Versailles-Chantiers,23,Vendredi,Soleil,230
Créteil-Préfecture,9,Jeudi,Pluie,263
Gare du Nord,7,Mardi,Soleil,513
Nation,20,Jeudi,Nuageux,333
Montparnasse,5,Jeudi,Nuageux,136
Gare de Lyon,15,Samedi,Nuageux,181
Nanterre-Préfecture,14,Lundi,Soleil,110
Saint-Denis (Stade),11,Vendredi,Pluie,258
Marne-la-Vallée (Chessy),20,Vendredi,Pluie,291
Gare de Lyon,6,Jeudi,Soleil,32
Nation,12,Mercredi,Soleil,208
La Défense,19,Mercredi,Pluie,1661
Marne-la-Vallée (Chessy),20,Samedi,Nuageux,79
Juvisy,7,Samedi,Soleil,109
Créteil-Préfecture,6,Vendredi,Nuageux,127
Neuilly-Plaisance,19,Jeudi,Nuageux,488
Vincennes,18,Samedi,Pluie,520
Aéroport d'Orly,13,Vendredi,Soleil,172
Aéroport d'Orly,8,Lundi,Soleil,326
République,12,Mardi,Pluie,241
Gare du Nord,14,Lundi,Soleil,343
Châtelet-Les Halles,21,Mardi,Nuageux,472
Vincennes,10,Jeudi,Soleil,96
Créteil-Préfecture,9,Jeudi,Nuageux,177
Vincennes,14,Lundi,Nuageux,108
Nation,21,Dimanche,Nuageux,164
La Défense,20,Lundi,Soleil,452
Gare du Nord,21,Samedi,Nuageux,269
Gare de Lyon,22,Mercredi,Nuageux,502
Juvisy,13,Samedi,Pluie,70
Neuilly-Plaisance,15,Lundi,Soleil,65
Juvisy,6,Vendredi,Soleil,82
Versailles-Chantiers,18,Samedi,Soleil,437
Bercy,19,Mardi,Soleil,807
Versailles-Chantiers,5,Dimanche,Soleil,91
Nation,5,Dimanche,Nuageux,46
Nanterre-Préfecture,13,Mercredi,Pluie,168
Juvisy,16,Samedi,Soleil,198
Massy-Palaiseau,21,Samedi,Soleil,85
Aéroport CDG 2,19,Samedi,Pluie,836
Saint-Lazare,8,Samedi,Nuageux,328
Marne-la-Vallée (Chessy),9,Samedi,Pluie,266
Montparnasse,18,Vendredi,Nuageux,1069
Nation,10,Vendredi,Soleil,52
Nation,10,Lundi,Pluie,149
Juvisy,23,Mercredi,Soleil,284
République,5,Jeudi,Pluie,26
Marne-la-Vallée (Chessy),13,Jeudi,Nuageux,284
Marne-la-Vallée (Chessy),5,Lundi,Nuageux,120
Aéroport d'Orly,8,Mardi,Nuageux,287
Marne-la-Vallée (Chessy),20,Lundi,Pluie,308
Massy-Palaiseau,9,Mardi,Pluie,482
Gare du Nord,20,Vendredi,Pluie,451
Marne-la-Vallée (Chessy),18,Mercredi,Soleil,802
Saint-Denis (Stade),13,Jeudi,Nuageux,112
Versailles-Chantiers,18,Samedi,Soleil,487
Neuilly-Plaisance,20,Samedi,Soleil,150
Créteil-Préfecture,10,Vendredi,Soleil,84
Nanterre-Préfecture,21,Lundi,Pluie,377
Cergy-Préfecture,5,Mercredi,Soleil,45
Saint-Denis (Stade),22,Jeudi,Pluie,334
Saint-Lazare,15,Samedi,Pluie,173
Juvisy,15,Vendredi,Soleil,168
Auber / Opéra,16,Lundi,Pluie,305
Gare du Nord,6,Mardi,Soleil,136
Noisy-le-Grand,20,Mercredi,Nuageux,157
Créteil-Préfecture,14,Samedi,Nuageux,104
Nation,18,Mardi,Nuageux,960
Neuilly-Plaisance,11,Mercredi,Pluie,149
Châtelet-Les Halles,12,Samedi,Pluie,335
République,14,Mardi,Nuageux,133
Nation,14,Vendredi,Nuageux,108
République,14,Dimanche,Soleil,86
Montparnasse,18,Jeudi,Soleil,1058
Noisy-le-Grand,23,Dimanche,Soleil,130
Marne-la-Vallée (Chessy),13,Dimanche,Soleil,163
Gare de Lyon,21,Lundi,Nuageux,397
Massy-Palaiseau,23,Jeudi,Pluie,315
République,6,Mercredi,Soleil,151
Aéroport d'Orly,19,Samedi,Nuageux,592
Vincennes,10,Mardi,Pluie,183
Aéroport d'Orly,20,Samedi,Pluie,285
Gare de Lyon,21,Jeudi,Pluie,499
Gare du Nord,14,Dimanche,Pluie,185
Noisy-le-Grand,16,Dimanche,Pluie,48
Gare de Lyon,16,Dimanche,Pluie,266
Juvisy,23,Lundi,Soleil,294
Boulogne - Pont de Sèvres,10,Lundi,Nuageux,92
Cergy-Préfecture,6,Jeudi,Nuageux,112
Créteil-Préfecture,22,Mardi,Pluie,282
Bercy,11,Samedi,Nuageux,106
Gare du Nord,9,Mercredi,Nuageux,617
Marne-la-Vallée (Chessy),12,Dimanche,Soleil,83
Gare du Nord,16,Dimanche,Soleil,109
Juvisy,5,Vendredi,Soleil,108
Châtelet-Les Halles,19,Samedi,Pluie,1171
Noisy-le-Grand,17,Mardi,Pluie,879
Saint-Lazare,14,Vendredi,Pluie,326
Saint-Denis (Stade),22,Dimanche,Nuageux,217
Massy-Palaiseau,22,Jeudi,Soleil,247
Massy-Palaiseau,11,Dimanche,Nuageux,155
Saint-Denis (Stade),19,Jeudi,Nuageux,881
Val de Fontenay,9,Jeudi,Pluie,390
Saint-Lazare,9,Mercredi,Pluie,599
Aéroport d'Orly,5,Jeudi,Nuageux,66
La Défense,10,Mardi,Pluie,257
Marne-la-Vallée (Chessy),20,Mardi,Soleil,270
Nanterre-Préfecture,12,Mercredi,Soleil,117
Saint-Lazare,8,Lundi,Soleil,400
Massy-Palaiseau,17,Dimanche,Nuageux,435
La Défense,23,Vendredi,Pluie,617
Massy-Palaiseau,14,Samedi,Pluie,169
Aéroport CDG 2,21,Mardi,Nuageux,365
Juvisy,22,Samedi,Nuageux,181
Montparnasse,9,Mardi,Pluie,571
Vincennes,16,Dimanche,Nuageux,81
La Défense,5,Samedi,Pluie,99
Créteil-Préfecture,5,Jeudi,Pluie,93
Nation,7,Lundi,Pluie,395
Auber / Opéra,11,Jeudi,Soleil,271
Juvisy,15,Dimanche,Soleil,107
Bercy,19,Dimanche,Nuageux,611
Créteil-Préfecture,7,Mercredi,Soleil,170
Bercy,12,Dimanche,Nuageux,45
Aéroport CDG 2,7,Vendredi,Nuageux,300
Créteil-Préfecture,17,Samedi,Pluie,422
Châtelet-Les Halles,6,Vendredi,Soleil,182
Gare du Nord,7,Jeudi,Nuageux,505
Châtelet-Les Halles,23,Dimanche,Nuageux,327
République,19,Vendredi,Pluie,1095
Vincennes,19,Vendredi,Pluie,765
Juvisy,11,Dimanche,Nuageux,78
Juvisy,7,Lundi,Pluie,355
Saint-Denis (Stade),21,Dimanche,Soleil,184
Auber / Opéra,6,Mardi,Soleil,163
Marne-la-Vallée (Chessy),20,Samedi,Nuageux,141
Juvisy,15,Mercredi,Pluie,125
Aéroport d'Orly,13,Lundi,Pluie,208
Aéroport CDG 2,15,Lundi,Nuageux,306
Montparnasse,9,Jeudi,Pluie,574
République,17,Dimanche,Pluie,608
Juvisy,23,Jeudi,Soleil,343
Noisy-le-Grand,17,Dimanche,Pluie,577
Montparnasse,6,Jeudi,Soleil,100
Boulogne - Pont de Sèvres,6,Mercredi,Pluie,40
Saint-Denis (Stade),12,Jeudi,Soleil,108
Aéroport d'Orly,9,Mardi,Soleil,317
Vincennes,15,Mercredi,Pluie,222
Boulogne - Pont de Sèvres,6,Vendredi,Nuageux,75
Aéroport CDG 2,10,Mercredi,Pluie,102
Aéroport d'Orly,16,Dimanche,Soleil,47
Val de Fontenay,10,Vendredi,Nuageux,117
République,20,Lundi,Nuageux,259
Versailles-Chantiers,23,Vendredi,Pluie,340
Saint-Denis (Stade),22,Mercredi,Pluie,384
Cergy-Préfecture,13,Mardi,Soleil,202
Val de Fontenay,21,Dimanche,Nuageux,170
Gare du Nord,21,Mardi,Nuageux,494
Nanterre-Préfecture,7,Vendredi,Pluie,344
Nation,19,Mercredi,Pluie,1237
Créteil-Préfecture,14,Vendredi,Pluie,260
Nanterre-Préfecture,23,Vendredi,Pluie,288
Versailles-Chantiers,9,Dimanche,Nuageux,145
Montparnasse,17,Lundi,Pluie,1185
Val de Fontenay,8,Mercredi,Nuageux,322
Val de Fontenay,18,Vendredi,Pluie,999
République,11,Jeudi,Soleil,110
Val de Fontenay,10,Jeudi,Nuageux,134
Montparnasse,15,Dimanche,Soleil,171
République,15,Dimanche,Nuageux,75
Châtelet-Les Halles,22,Jeudi,Soleil,541
Bercy,11,Dimanche,Nuageux,83
Nation,23,Vendredi,Nuageux,369
Aéroport CDG 2,7,Mercredi,Nuageux,346
Cergy-Préfecture,13,Lundi,Nuageux,155
Noisy-le-Grand,18,Jeudi,Soleil,753
Boulogne - Pont de Sèvres,21,Vendredi,Nuageux,275
Montparnasse,7,Vendredi,Pluie,465
Juvisy,10,Mercredi,Nuageux,105
République,15,Dimanche,Nuageux,48
Gare de Lyon,17,Vendredi,Pluie,1366
Marne-la-Vallée (Chessy),18,Mercredi,Pluie,1052
Auber / Opéra,7,Lundi,Nuageux,358
Neuilly-Plaisance,13,Lundi,Soleil,100
Boulogne - Pont de Sèvres,10,Vendredi,Pluie,13
Auber / Opéra,15,Mardi,Nuageux,213
Val de Fontenay,12,Lundi,Nuageux,225
Saint-Denis (Stade),12,Mercredi,Nuageux,42
Vincennes,19,Vendredi,Pluie,883
Auber / Opéra,19,Samedi,Pluie,788
Aéroport d'Orly,12,Samedi,Pluie,86
Massy-Palaiseau,17,Mardi,Nuageux,751
Montparnasse,19,Lundi,Soleil,1136
Nation,20,Mercredi,Nuageux,280
Bercy,6,Samedi,Soleil,46
Saint-Lazare,7,Vendredi,Soleil,405
Versailles-Chantiers,20,Mercredi,Pluie,267
Gare du Nord,14,Vendredi,Pluie,370
Montparnasse,5,Mardi,Nuageux,40
Bercy,9,Dimanche,Nuageux,179
La Défense,7,Mercredi,Pluie,471
Noisy-le-Grand,11,Dimanche,Nuageux,127
Cergy-Préfecture,22,Samedi,Soleil,54
Vincennes,18,Mercredi,Nuageux,606
Gare du Nord,18,Dimanche,Nuageux,767
La Défense,18,Dimanche,Nuageux,805
Aéroport d'Orly,5,Lundi,Soleil,134
Juvisy,22,Mercredi,Pluie,361
Aéroport d'Orly,7,Lundi,Pluie,289
Aéroport d'Orly,17,Mercredi,Pluie,973
Vincennes,19,Mercredi,Soleil,697
Saint-Denis (Stade),22,Lundi,Pluie,355
Montparnasse,7,Dimanche,Pluie,247
Créteil-Préfecture,23,Lundi,Pluie,293
Val de Fontenay,19,Samedi,Soleil,491
Créteil-Préfecture,22,Lundi,Nuageux,236
